date,Tipo,Volume,Price,Retorno,Saldo,Dummy,Open,High,Low,Close,Tick,Vol
2019-06-03 14:26:09,buy,38,97520,-2256,1090671,0,97490.0,97495.0,97475.0,97495.0,169,519
2019-06-03 16:57:00,buy,19,97005,535,1091206,1,97000.0,97000.0,96995.0,96995.0,24,107
2019-06-03 17:00:01,buy,19,96990,592,1091798,1,96995.0,96995.0,96985.0,96990.0,39,218
2019-06-05 16:57:00,buy,19,96145,3594,1095392,1,96140.0,96145.0,96135.0,96145.0,17,69
2019-06-05 17:00:01,buy,19,96095,3784,1099176,1,96085.0,96085.0,96075.0,96075.0,50,263
2019-06-07 10:40:10,buy,38,97615,-2178,1096998,0,97615.0,97620.0,97600.0,97620.0,297,856
2019-06-07 13:36:32,sell,38,98020,-2220,1094778,0,98025.0,98025.0,98020.0,98025.0,17,29
2019-06-10 14:16:43,sell,38,97070,-2296,1092482,0,97085.0,97085.0,97075.0,97085.0,64,203
2019-06-10 16:57:00,sell,19,97525,277,1092759,1,97525.0,97530.0,97520.0,97525.0,26,125
2019-06-10 17:00:01,sell,19,97525,277,1093036,1,97540.0,97540.0,97530.0,97535.0,39,92
2019-06-13 16:57:00,buy,9,99795,162,1093198,1,99790.0,99795.0,99785.0,99785.0,41,148
2019-06-13 17:00:01,buy,9,99835,90,1093288,1,99830.0,99830.0,99820.0,99830.0,99,383
2019-06-17 12:33:05,sell,38,98970,-2296,1090992,0,99030.0,99030.0,99025.0,99025.0,48,134
2019-06-17 14:58:16,sell,38,98860,-2258,1088734,0,98905.0,98910.0,98905.0,98905.0,27,89
2019-06-18 16:57:00,sell,19,100265,847,1089581,1,100265.0,100270.0,100265.0,100265.0,24,193
2019-06-18 17:00:01,sell,19,100285,923,1090504,1,100290.0,100295.0,100285.0,100290.0,77,273
2019-06-25 16:57:00,buy,19,100940,5170,1095674,1,100935.0,100940.0,100935.0,100940.0,6,6
2019-06-25 17:00:01,buy,19,100835,5569,1101243,1,100825.0,100830.0,100820.0,100825.0,64,183
2019-06-27 13:35:20,buy,38,100675,-2238,1099005,0,100660.0,100665.0,100645.0,100650.0,138,670
2019-06-27 16:57:00,sell,19,101460,2310,1101315,1,101460.0,101460.0,101450.0,101455.0,46,144
2019-06-27 17:00:01,sell,19,101455,2291,1103606,1,101440.0,101450.0,101440.0,101450.0,24,63
2019-07-02 13:30:09,buy,38,102110,-2218,1101388,0,102120.0,102145.0,102120.0,102140.0,417,1414
2019-07-02 16:57:00,buy,19,101320,-102,1101286,0,101315.0,101325.0,101315.0,101325.0,47,192
2019-07-02 17:00:01,buy,19,101365,-273,1101013,0,101375.0,101380.0,101360.0,101365.0,114,539
2019-07-08 16:57:00,buy,19,105115,-207,1100806,0,105110.0,105120.0,105110.0,105120.0,51,325
2019-07-08 17:00:01,buy,19,105080,-74,1100732,0,105065.0,105070.0,105065.0,105065.0,46,167
2019-07-12 16:57:00,buy,19,104590,3870,1104602,1,104585.0,104585.0,104585.0,104585.0,5,13
2019-07-12 17:00:01,buy,19,104650,3642,1108244,1,104655.0,104655.0,104645.0,104650.0,21,51
2019-07-16 16:57:00,buy,19,104185,202,1108446,1,104180.0,104185.0,104180.0,104185.0,19,64
2019-07-16 17:00:01,buy,19,104185,202,1108648,1,104180.0,104185.0,104180.0,104180.0,36,116
2019-07-18 16:57:00,sell,19,105085,2139,1110787,1,105085.0,105090.0,105080.0,105080.0,19,148
2019-07-18 17:00:01,sell,19,105080,2120,1112907,1,105095.0,105100.0,105095.0,105100.0,71,548
2019-07-22 16:57:00,buy,19,104225,211,1113118,1,104220.0,104225.0,104220.0,104225.0,9,38
2019-07-22 17:00:01,buy,19,104285,-17,1113101,0,104270.0,104275.0,104260.0,104260.0,166,761
2019-07-24 15:26:21,sell,38,104300,-2258,1110843,0,104335.0,104335.0,104330.0,104335.0,147,1081
2019-07-25 16:57:00,buy,9,102780,3024,1113867,1,102775.0,102775.0,102765.0,102770.0,27,146
2019-07-25 17:00:01,buy,9,102835,2925,1116792,1,102840.0,102840.0,102835.0,102840.0,30,98
2019-07-29 16:57:00,sell,19,103585,1693,1118485,1,103585.0,103590.0,103585.0,103590.0,34,187
2019-07-29 17:00:01,sell,19,103685,2073,1120558,1,103680.0,103690.0,103680.0,103685.0,43,117
2019-07-31 10:45:14,buy,38,103095,-2370,1118188,0,102960.0,102970.0,102955.0,102965.0,79,266
2019-07-31 15:00:02,buy,38,102680,-2370,1115818,0,102590.0,102655.0,102560.0,102645.0,1455,5103
2019-08-01 14:35:05,sell,38,103230,-2352,1113466,0,103275.0,103285.0,103250.0,103265.0,402,1739
2019-08-12 11:25:10,buy,38,102005,-2312,1111154,0,101975.0,101980.0,101965.0,101970.0,158,427
2019-08-19 16:57:00,buy,9,100045,2016,1113170,1,100040.0,100040.0,100035.0,100035.0,43,100
2019-08-19 17:00:01,buy,9,100000,2097,1115267,1,99960.0,99965.0,99950.0,99950.0,149,479
2019-08-21 10:39:04,buy,38,100740,-2238,1113029,0,100730.0,100735.0,100710.0,100715.0,261,731
2019-08-21 16:57:00,sell,19,102090,4343,1117372,1,102090.0,102095.0,102085.0,102090.0,80,355
2019-08-21 17:00:01,sell,19,102085,4324,1121696,1,102085.0,102090.0,102070.0,102075.0,100,316
2019-09-02 15:17:20,buy,38,101920,-2238,1119458,0,101800.0,101800.0,101795.0,101795.0,6,18
2019-09-03 11:06:14,sell,38,101420,-2334,1117124,0,101560.0,101565.0,101530.0,101535.0,162,1069
2019-09-03 15:51:14,sell,38,100510,-2296,1114828,0,100570.0,100575.0,100565.0,100570.0,86,275
2019-09-04 16:01:10,buy,38,101600,-2312,1112516,0,101555.0,101560.0,101550.0,101555.0,81,282
2019-09-05 15:07:10,sell,38,103025,728,1113244,1,103090.0,103100.0,103090.0,103090.0,70,259
2019-09-09 13:25:32,sell,38,104245,-2220,1111024,0,104275.0,104275.0,104270.0,104275.0,36,173
2019-09-09 16:57:00,buy,19,103735,-891,1110133,0,103730.0,103740.0,103725.0,103740.0,67,282
2019-09-09 17:00:01,buy,19,103760,-986,1109147,0,103755.0,103760.0,103750.0,103750.0,81,362
2019-09-11 10:46:03,buy,38,104200,-2058,1107089,0,104160.0,104165.0,104155.0,104165.0,143,444
2019-09-11 12:14:16,sell,38,104195,-2258,1104831,0,104200.0,104205.0,104195.0,104205.0,214,585
2019-09-11 16:57:00,buy,19,104035,-45,1104786,0,104030.0,104035.0,104025.0,104035.0,51,217
2019-09-11 17:00:01,buy,19,104040,-64,1104722,0,104030.0,104035.0,104025.0,104035.0,77,357
2019-09-13 16:57:00,buy,19,103825,4088,1108810,1,103820.0,103835.0,103820.0,103825.0,54,292
2019-09-13 17:00:01,buy,19,103840,4031,1112841,1,103825.0,103835.0,103825.0,103830.0,70,301
2019-09-17 16:57:00,sell,19,104930,4353,1117194,1,104930.0,104935.0,104930.0,104935.0,17,40
2019-09-17 17:00:01,sell,19,104955,4448,1121642,1,104975.0,104975.0,104955.0,104965.0,145,815
2019-09-19 11:10:14,sell,38,105835,-2200,1119442,0,105870.0,105880.0,105865.0,105875.0,160,449
2019-09-19 16:57:00,buy,19,104745,2814,1122256,1,104740.0,104740.0,104730.0,104735.0,40,140
2019-09-19 17:00:01,buy,19,104660,3137,1125393,1,104675.0,104680.0,104665.0,104670.0,117,573
2019-09-24 16:57:00,buy,19,104075,2358,1127751,1,104070.0,104070.0,104070.0,104070.0,7,18
2019-09-24 17:00:01,buy,19,104095,2282,1130033,1,104095.0,104100.0,104090.0,104095.0,109,614
