date,Tipo,Volume,Price,SL,TP,Saldo,Price Vol,Scaled Price Return,Retorno,Dummy,Open,High,Low,Close,Tick,Vol,Returns,Scaled Returns,Proba Returns,Candle Size,MM20,MM10,MM5,MM2
2019-06-10 17:00:01,sell,19,97525,97160,100060,1093036,0.0,-0.032808644,277,1,97540.0,97540.0,97530.0,97535.0,39,92,0.00010253781081773904,-0.04387610657508834,0.39932646970460567,10.0,10.75,11.0,11.0,10.0
2019-06-13 16:57:00,buy,9,99795,100185,97285,1093198,0.0233,1.174920802,162,1,99790.0,99795.0,99785.0,99785.0,41,148,0.023068642025939407,-0.04387610657508834,0.39932646970460567,10.0,10.75,10.0,9.0,10.0
2019-06-13 17:00:01,buy,9,99835,100185,97285,1093288,0.0004,-0.012011152,90,1,99830.0,99830.0,99820.0,99830.0,99,383,0.00045096958460690484,-0.04387610657508834,0.39932646970460567,10.0,11.0,10.5,10.0,10.0
2019-06-17 12:33:05,sell,38,98970,98980,101880,1090992,-0.0087,-0.482374212,-2296,0,99030.0,99030.0,99025.0,99025.0,48,134,-0.008063708304116998,-0.04387610657508834,0.39932646970460567,5.0,10.75,10.0,9.0,7.5
2019-06-17 14:58:16,sell,38,98860,98865,101765,1088734,-0.0011,-0.0904785,-2258,0,98905.0,98910.0,98905.0,98905.0,27,89,-0.0012118151981822772,-0.04387610657508834,0.39932646970460567,5.0,10.5,9.5,8.0,5.0
2019-06-18 16:57:00,sell,19,100265,99750,102650,1089581,0.0142,0.704612312,847,1,100265.0,100270.0,100265.0,100265.0,24,193,0.013750568727566857,-0.04387610657508834,0.39932646970460567,5.0,10.25,9.0,7.0,5.0
2019-06-18 17:00:01,sell,19,100285,99750,102650,1090504,0.0002,-0.022458643,923,1,100290.0,100295.0,100285.0,100290.0,77,273,0.00024933925098489005,-0.04387610657508834,0.39932646970460567,10.0,10.0,8.0,7.0,7.5
2019-06-25 16:57:00,buy,19,100940,102590,99690,1095674,0.0065,0.306086291,5170,1,100935.0,100940.0,100935.0,100940.0,6,6,0.006481204506929903,-0.04387610657508834,0.39932646970460567,5.0,9.5,8.0,6.0,7.5
2019-06-25 17:00:01,buy,19,100835,102590,99690,1101243,-0.001,-0.086782787,5569,1,100825.0,100830.0,100820.0,100825.0,64,183,-0.0011392906677234,-0.04387610657508834,0.39932646970460567,10.0,9.25,8.0,7.0,7.5
2019-06-27 13:35:20,buy,38,100675,100670,97770,1099005,-0.0016,-0.1151406,-2238,0,100660.0,100665.0,100645.0,100650.0,138,670,-0.0017356806347632037,-0.04387610657508834,0.39932646970460567,20.0,10.0,9.0,10.0,15.0
